symbol,company_name
360ONE,360 One Wam Limited
3MINDIA,3M India Limited
ACC,ACC Limited
AIAENG,AIA Engineering Limited
APLAPOLLO,APL Apollo Tubes Limited
AUBANK,AU Small Finance Bank Limited
AWL,AWL Agri Business Limited
ABBOTINDIA,Abbott India Limited
ATGL,Adani Total Gas Limited
ABCAPITAL,Aditya Birla Capital Limited
AJANTPHARM,Ajanta Pharma Limited
ALKEM,Alkem Laboratories Limited
ANTHEM,ANTHEM BIOSCIENCES LTD
APARINDS,APAR Industries Limited
APOLLOTYRE,Apollo Tyres Limited
ASHOKLEY,Ashok Leyland Limited
ASTRAL,Astral Limited
AUROPHARMA,Aurobindo Pharma Limited
AIIL,Authum Investment & Infrastructure Limited
BSE,BSE Limited
BAJAJHFL,BAJAJ HOUSING FINANCE LTD
BALKRISIND,Balkrishna Industries Limited
BANKINDIA,Bank of India Limited
MAHABANK,Bank of Maharashtra
BERGEPAINT,Berger Paints India Limited
BDL,Bharat Dynamics Limited
BHARATFORG,Bharat Forge Limited
BHEL,Bharat Heavy Electricals Limited
BHARTIHEXA,BHARTI HEXACOM LIMITED
GROWW,BILLIONBRAINS GARAGE VN L
BIOCON,Biocon Limited
BLUESTARCO,Blue Star Limited
CRISIL,CRISIL Limited
COCHINSHIP,Cochin Shipyard Limited
COFORGE,Coforge Limited
COLPAL,Colgate-Palmolive (India) Limited
CONCOR,Container Corporation of India Limited
COROMANDEL,Coromandel International Limited
DABUR,Dabur India Limited
DALBHARAT,Dalmia Bharat Limited
DIXON,Dixon Technologies (India) Limited
ENDURANCE,Endurance Technologies Limited
ESCORTS,Escorts Kubota Limited
EXIDEIND,Exide Industries Limited
NYKAA,FSN E-Commerce Ventures Limited
FEDERALBNK,The Federal Bank Limited
FORTIS,Fortis Healthcare Limited
GVT&D,GE Vernova T&D India Ltd
GMRAIRPORT,GMR Airports Limited
GICRE,General Insurance Corporation of India
GLAXO,GlaxoSmithKline Pharmaceuticals Limited
GLENMARK,Glenmark Pharmaceuticals Limited
MEDANTA,Global Health Limited
GODFRYPHLP,Godfrey Phillips India Limited
GODREJIND,Godrej Industries Limited
GODREJPROP,Godrej Properties Limited
FLUOROCHEM,Gujarat Fluorochemicals Limited
HDBFS,HDB FINANCIAL SERVICES L
HAVELLS,Havells India Limited
HEROMOTOCO,Hero MotoCorp Limited
HEXT,Hexaware Technologies Limited
HINDPETRO,Hindustan Petroleum Corporation Limited
POWERINDIA,Hitachi Energy India Limited
HONAUT,Honeywell Automation India Limited
HUDCO,Housing and Urban Development Corporation Limited
ICICIGI,ICICI Lombard General Insurance Company Limited
ICICIAMC,ICICI PRUDENTIAL AMC LTD
ICICIPRULI,ICICI Prudential Life Insurance Company Limited
IDFCFIRSTB,IDFC First Bank Limited
ITCHOTELS,ITC HOTELS LIMITED
INDIANB,Indian Bank
IRCTC,Indian Railway Catering & Tourism Corporation Limited
IREDA,Indian Renewable Energy Development Agency Limited
INDUSTOWER,Indus Towers Limited
INDUSINDBK,IndusInd Bank Limited
NAUKRI,Info Edge (India) Limited
IPCALAB,Ipca Laboratories Limited
JKCEMENT,J.K. Cement Limited
JSWENERGY,JSW Energy Limited
JSWINFRA,JSW Infrastructure Limited
JSL,Jindal Stainless Limited
JUBLFOOD,Jubilant FoodWorks Limited
KPRMILL,K.P.R. Mill Limited
KEI,KEI Industries Limited
KPITTECH,KPIT Technologies Limited
KALYANKJIL,Kalyan Jewellers India Limited
LTF,L&T Finance Limited
LTTS,L&T Technology Services Limited
LGEINDIA,LG ELECTRONICS INDIA LTD
LICHSGFIN,LIC Housing Finance Limited
LAURUSLABS,Laurus Labs Limited
LENSKART,LENSKART SOLUTIONS LTD
LICI,Life Insurance Corporation of India
LINDEINDIA,Linde India Limited
LLOYDSME,Lloyds Metals and Energy Limited
LUPIN,Lupin Limited
MRF,MRF Limited
M&MFIN,Mahindra & Mahindra Financial Services Limited
MANKIND,Mankind Pharma Limited
MARICO,Marico Limited
MFSL,Max Financial Services Limited
MOTILALOFS,Motilal Oswal Financial Services Limited
MPHASIS,Mphasis Limited
MCX,Multi Commodity Exchange of India Limited
NHPC,NHPC Limited
NLCINDIA,NLC India Limited
NMDC,NMDC Limited
NTPCGREEN,NTPC GREEN ENERGY LIMITED
NATIONALUM,National Aluminium Company Limited
NAM-INDIA,Nippon Life India Asset Management Limited
OBEROIRLTY,Oberoi Realty Limited
OIL,Oil India Limited
PAYTM,One97 Communications Limited
OFSS,Oracle Financial Services Software Limited
